%column 1: human-friendly name, in quotes
%column 2: python identifier for the category
%column 3: Wikidata id of the wikipedia page
%column 4: Wikipedia page (if close fuzzy match with one of the Math wikipedia pages as queried with Tom's select)
%column 5: fuzzy match score: number of characters that did not match
"objects" sage.categories.objects.Objects   
"quotients of sets" sage.categories.sets_cat.Sets.Quotients   
"quotients of graded modules with basis" sage.categories.graded_modules_with_basis.GradedModulesWithBasis.Quotients   
"tensor products of highest weight crystals" sage.categories.highest_weight_crystals.HighestWeightCrystals.TensorProducts   
"signed tensor products of graded coalgebras" sage.categories.graded_coalgebras.GradedCoalgebras.SignedTensorProducts   
"graded hopf algebras with basis" sage.categories.graded_hopf_algebras_with_basis.GradedHopfAlgebrasWithBasis.WithRealizations   
"filtered connected modules" sage.categories.filtered_modules.FilteredModules.Connected   
"filtered connected hopf algebras with basis" sage.categories.filtered_hopf_algebras_with_basis.FilteredHopfAlgebrasWithBasis.Connected   
"graded connected hopf algebras with basis" sage.categories.graded_hopf_algebras_with_basis.GradedHopfAlgebrasWithBasis.Connected   
"tensor products of finite crystals" sage.categories.finite_crystals.FiniteCrystals.TensorProducts   
"tensor products of classical crystals" sage.categories.classical_crystals.ClassicalCrystals.TensorProducts   
"super modules" sage.categories.super_modules.SuperModules   
"super modules with basis" sage.categories.super_modules_with_basis.SuperModulesWithBasis   
"super coalgebras" sage.categories.coalgebras.Coalgebras.Super   
"super coalgebras with basis" sage.categories.coalgebras_with_basis.CoalgebrasWithBasis.Super   
"finitely presented modules" sage.categories.modules.Modules.FinitelyPresented   
"commutative groups" sage.categories.groups.Groups.Commutative   
"Cartesian products of inverse unital magmas" sage.categories.magmas.Magmas.Unital.Inverse.CartesianProducts   
"Cartesian products of groups" sage.categories.groups.Groups.CartesianProducts   
"topological spaces" sage.categories.topological_spaces.TopologicalSpaces Q179899 Topological_space 1.0
"topological groups" sage.categories.groups.Groups.Topological   
"super algebras" sage.categories.super_algebras.SuperAlgebras   
"super bialgebras" sage.categories.bialgebras.Bialgebras.Super   
"super hopf algebras" sage.categories.hopf_algebras.HopfAlgebras.Super   
"tensor products of coalgebras" sage.categories.coalgebras.Coalgebras.TensorProducts   
"tensor products of hopf algebras" sage.categories.hopf_algebras.HopfAlgebras.TensorProducts   
"realizations of sets" sage.categories.sets_cat.Sets.Realizations   
"realizations of magmas" sage.categories.magmas.Magmas.Realizations   
"realizations of unital magmas" sage.categories.magmas.Magmas.Unital.Realizations   
"realizations of coalgebras" sage.categories.coalgebras.Coalgebras.Realizations   
"realizations of hopf algebras" sage.categories.hopf_algebras.HopfAlgebras.Realizations   
"J-trivial magmas" sage.categories.magmas.Magmas.JTrivial   
"subquotients of magmas" sage.categories.magmas.Magmas.Subquotients   
"homsets of additive magmas" sage.categories.additive_magmas.AdditiveMagmas.Homsets   
"additive magma algebras" sage.categories.additive_magmas.AdditiveMagmas.Algebras   
"finite dimensional Lie algebras" sage.categories.lie_algebras.LieAlgebras.FiniteDimensional   
"nilpotent Lie algebras" sage.categories.lie_algebras.LieAlgebras.Nilpotent   
"GAP Lie algebras" sage_annotations.categories.lie_algebras.GAP   
"additive semigroup algebras" sage.categories.additive_semigroups.AdditiveSemigroups.Algebras   
"additive unital additive magma algebras" sage.categories.additive_magmas.AdditiveMagmas.AdditiveUnital.Algebras   
"additive group algebras" sage.categories.additive_groups.AdditiveGroups.Algebras   
"additive commutative additive magma algebras" sage.categories.additive_magmas.AdditiveMagmas.AdditiveCommutative.Algebras   
"commutative additive group algebras" sage.categories.commutative_additive_groups.CommutativeAdditiveGroups.Algebras   
"cocommutative coalgebras" sage.categories.coalgebras.Coalgebras.Cocommutative   
"duals of coalgebras" sage.categories.coalgebras.Coalgebras.DualObjects   
"facade sets" sage.categories.facade_sets.FacadeSets   
"sets with realizations" sage.categories.sets_cat.Sets.WithRealizations   
"additive unital additive magmas with realizations" sage.categories.additive_magmas.AdditiveMagmas.AdditiveUnital.WithRealizations   
"coalgebras" sage.categories.coalgebras.Coalgebras.WithRealizations   
"monoids with realizations" sage.categories.monoids.Monoids.WithRealizations   
"subquotients of semigroups" sage.categories.semigroups.Semigroups.Subquotients   
"subquotients of monoids" sage.categories.monoids.Monoids.Subquotients   
"commutative GAP magmas" sage.categories.magmas.Magmas.Commutative.GAP   
"GAP fields" sage.categories.fields.Fields.GAP   
"Cartesian products of enumerated sets" sage.categories.enumerated_sets.EnumeratedSets.CartesianProducts   
"enumerated GAP sets" sage.categories.enumerated_sets.EnumeratedSets.GAP   
"quotients of semigroups" sage.categories.semigroups.Semigroups.Quotients   
"homsets of modular abelian varieties" sage.categories.modular_abelian_varieties.ModularAbelianVarieties.Homsets   
"tensor products of algebras with basis" sage.categories.algebras_with_basis.AlgebrasWithBasis.TensorProducts   
"tensor products of hopf algebras with basis" sage.categories.hopf_algebras_with_basis.HopfAlgebrasWithBasis.TensorProducts   
"Cartesian products of finite enumerated sets" sage.categories.finite_enumerated_sets.FiniteEnumeratedSets.CartesianProducts   
"subquotients of finite sets" sage.categories.finite_sets.FiniteSets.Subquotients   
"subobjects of sets" sage.categories.sets_cat.Sets.Subobjects   
"isomorphic objects of sets" sage.categories.sets_cat.Sets.IsomorphicObjects   
"isomorphic objects of finite enumerated sets" sage.categories.finite_enumerated_sets.FiniteEnumeratedSets.IsomorphicObjects   
"finite enumerated GAP sets" sage.categories.finite_enumerated_sets.FiniteEnumeratedSets.GAP   
"homsets of Hecke modules" sage.categories.hecke_modules.HeckeModules.Homsets   
"metric spaces" sage.categories.metric_spaces.MetricSpaces   
"quotients of algebras" sage.categories.algebras.Algebras.Quotients   
"Cartesian products of unital algebras" sage.categories.unital_algebras.UnitalAlgebras.CartesianProducts   
"Cartesian products of algebras" sage.categories.algebras.Algebras.CartesianProducts   
"duals of algebras" sage.categories.algebras.Algebras.DualObjects   
"tensor products of finite dimensional modules" sage.categories.modules.Modules.FiniteDimensional.TensorProducts   
