Verband
Schlüssel
Wert
Collection,Container
Information
zustandsbehaftet
Zustand
reine Funktion
Prozeß
Dateisystem
Basisnamen
Erweiterung
Schleife
Rumpf
aktuelles Verzeichnis
Kode,Code
Codierung
Decodierung
Verzweigung,bedingte Anweisung
abstrakter Datentyp,ADT
Shell
Kommandozeilenschnittstelle
Kommandozeile,Befehlszeile
Kommandozeileninterpreter
Betriebssystem
System
Subsystem
informationsverarbeitendes System
Eingabesystem
Prozessor
Speichersystem
Ausgabesystem
Speichermedium,Datenträger
speichtern
Ausdruck
Endbenutzer
Variable
Variablenname
Kodierung
Programmcode,Code
Daten
eingebettetes System
Anwendungssoftware
Anwendungsprogramm,Anwendung,App
Systemsoftware
Dashboard
Interpreter
REPL,lese evaluiere schreibe Zyklus
Unterprogramm
Name
Parameter
Rumpf
Stelligkeit
ausführende Programm
Rückgabewert
zurückgeben
Funktion
Prozedur
Turing vollständig,turingmächtig
grafische Nutzeroberfläche,grafische Nutzerschnittstelle
Kommunikationsmedium
Botschaft
Sender
Empfänger
Programmierung
Programmierer
Kommunikation
Liste
leere Liste
Cloud IDE,Web IDE
Speicher,Hauptspeicher
hierarchical file system
Verzeichnis,Ordner
integrierte Entwicklungsumgebung,IDE
Rechengerät,Rechner,Computer
Maschinenbefehlen
ausführen
Hardware
Software
Programmiersprache
Inferenzsystem,Kalkül
alphabetische Variante
korrekt
vollst"andig
Turingmaschine
Band
Kopf
Zustandsregister
Startzustand
Aktionstabelle,Programm
Aktion
hält
nichtdeterministische Turingmaschine,nTM
Alphabet
Übergangsrelation
deterministische Turingmaschine,dTM
Übergangsfunktion
Bandspezifikation
akzeptierend,final
kodiert
Konfiguration
aktuelle Zelle
Konfigurationsübergangsfunktion
Komplexitätsklasse
polynomielle Zeit
exponentielle Zeit
nichtdeterministisch polynomielle Zeit
polynomieller Platz
nichtdeterministisch polynomieller Platz
NP schwer,NP hart
NP vollständig
Entscheidungsproblem
turing-machine-halts?total
Lauf,Berechnung
Laufzeit
Platz
hält
asymptotisch beschränkt
rekursiv,entscheidbar
unentscheidbar
semientscheidbar,recursiv aufzählbar,aufzählbar
Laufzeit
Zeitkomplexität
Platzkomplexität
Berechungskomplexität,Komplexität
konstant
quadratisch
logarithmisch
polynomiell
linear
exponentiell
akzeptiert
entscheidet
Mantisse
Primitivwurzel
Produkt
Multiplikationsindex,Laufindex
Endwert,Startwert
obere Grenze
Multiplikationsbereich
Darstellung
$j$te Ziffer
Absolutbetrag
Addition
Summe
Subtraktion
Differenz
Multiplikation
Produkt
Division
Quotient
Exponentiation
Basis
Potenz
Exponent
Wurzel
Quadratwurzel
größte gemeinsame Teiler,ggT
Absolutbetrag
Addition
Summe
Subtraktion
Differenz
Multiplikation
Produkt
Modulus
Rest
Exponentiation
Basis
Potenz
Exponent
Wurzel
Quadratwurzel
kleiner als
größer als
kgV,kleinste gemeinsame Vielfache
ganzzahlige Intervall
Aufrundung
Abrundung,ganze Teil,Gaussklammer
Unendlichkeit
Fakultät,Faktorielle
Realteil
Imaginärteil
imaginäre Einheit
Absolutbetrag
Addition
Summe
Subtraktion
Differenz
Multiplikation
Produkt
Division
Exponentiation
Basis
Potenz
Exponent
Wurzel
Quadratwurzel
Positionssystem,Stellenwertsystem,polyadisches Zahlensystem
Grundzahl,Basis
Ziffer,Zahlzeichen
Grundzahl,Basis
Zahl
Zahlmenge
Summation
Summe
Laufindex,Summationsindex
Endwert,untere Grenze,Startwert
obere Grenze
Summationsbereich
Nummernsystem
Nummer
geometrische Mittel
argmax,Argument des Maximums,argumentum maximi,arg max
argmin,argumentum minimi,arg min,Argument des Minimumus
minimiert
maximiert
harmonische Mittel
division
Addition
Summe
Subtraktion
Differenz
Multiplikation
Produkt
Modulus
Rest
Exponentiation
Basis
Potenz
Exponent
Wurzel
Quadratwurzel
kleiner
Bruch
Zähler
Nenner
Addition
Subtraktion
Multiplikation
Division
Exponentiation
natürlichen Zahlen
Nachfolgerfunktion
Null
positiven natürlichen Zahlen
Eulersche Zahl
teilt,Teiler,teilbar
Vielfaches
trivialen Teiler
nichttrivialen Teiler
irrationale Zahl
Minimum
Maximum
maximum
minimum
Extremum
Addition
Subtraktion
Differenz
Multiplikation
Division
Quotienten
Exponentiation
Wurzel
konjugierte
kongruent modulo
Modulus,Modul
Kongruenz
arithmetische Mittel
Darstellung
diskreten Logarithmus
lexikographische Ordnung
partielle Funktion
Argumentbereich
Definitionsmenge,Definitionsbereich
Wertebereich
Anwendung
Argument
Wert
definiert auf
undefiniert auf
totale Funktion
Funktion
Raum der Funktionen
Raum der partiellen Funktionen
total
symmetrisch
asymmetrisch
antisymmetrisch
Universum
unscharfe Menge,Fuzzymenge
Zugehörigkeitsfunktion
Akzeptanz
Setoid
Äquivalenzklasse
Quotientenmenge,Faktormenge
Representant
kanonische Projektion,Quotientenabbildung
Permutation
partielle Ordnung
strikte Ordnung
geordnete Menge
Identätsrelation,Diagonale,Identitätsfunktion
Quasiordnung
Grundmenge
quasigeordnete Menge
rechtstotal,surjektiv
gerichtete Menge
Richtung
disjunkte Vereinigung
partielle Inverse
Inverse,Umkehrfunktion
gerade
ungerade
Parität
$n$ fache Cartesische Product
$n$ Tupel
Dimension
Projektion
Injektion
Cartesische Produkt
Vereinigung
Vereinigung
reflexive Erweiterung
Menge
Elementbeziehung
gleich
Relation
Relation auf
Klasse
eigentliche Klasse
kleine Klasse
linkseindeutig,injektiv
nach oben abgeschlossen
nach unten abgeschlossen
bijektiv,eineindeutig
Bijektion
Iterierte
Bild
Bild
Urbild
Funktionsdefinition
Funktionsmuster
Funktionsrumpf
Fixpunkt
Familie
leere Menge
leer
nichtleer
minimale,kleinste
größte,maximale
Graph
Ultrafilter
Teilwort,Teilkette
echte Teilkette,echtes Teilwort
Präfix
echter Präfix
Suffix
echter Suffix
Wohlordnung
fundierte Menge
Arität,Stelligkeit
unär,einstellig
binär
tertiär
finitär
transitiv
$n$ dimenionaler Kartesischen Raum
Vektor
Filter
gefilterte Menge
echt,eigentlich
gleichmächtih
Multimenge
Multiplizität
disjunkt
paarweise disjunkt
Paare
Paar
erste Komponente
zweite Komponente
relative Komplement,Komplement,Differenz
symmetrische Differenz
konverse Relation
Kuratowski Paar
Beschränkung
transitive Hülle,transitiven Abschluß
transitiv reflexive Hülle,transitiven reflexiven Abschluß
reflexiv
irreflexiv,antireflexiv
Zerlegung,Partition,Klasseneinteilung
überdeckt
Rang
mehrstellige Funktion
Potenzmenge
Äquivalenzrelation
Sprache,formale Sprache
Alphabet
endlich
Kardinalität,Mächtigkeit
unendlich
Alphabet
Symbol,Buchstaben
Wort,Zeichenkette
leere Zeichenkette,leere Wort
endlicher Abschluss,Zeichenketten,Worte,Kleene * Abschluss,Kleenesche Hülle,Sternhülle,Verkettungshülle
endlicher Abschluss,Kleene + Abschluss
Verkettung,Konkatenation
Länge
verkettbar
Verkettung
$n$ fache Verkettung
multirelationionaler Ausdruck
Zweiermenge,Paar,Paarmenge
Teilmenge
Mengeninklusion
echte Teilmenge
Obermenge
echte Obermenge
erste Projektion
zweite Projektion
Einermenge,einelementige Menge
Mengensystem
Grundmenge
Durchschnitt
Schnitt
$p$ Abschluss
abzählbar
überabzählbar
abzählbar unendlich
kofinal,konfinal
Parität,Vorzeichen,Signatur,Signum
totale Ordnung,lineare Ordnung,einfache Ordnung
total geordnete Menge
Inversion,Fehlstand
Gleichung
linke Seite
rechte Seite
Lösen
Lösung
Identitätsgleichung,Identität
bedingte Gleichung
Wertzuweisung
Variable
Wert
beliebig
unterspezifiziert
Unbekannte
Wertebereich
gleich
mathatische Idiome
mathematische Umgangssprache
genau dann wenn,gdw.
Ausdruck
Operatoranwendung
Variablenbindung
gebunden
frei
geschlossen
Struktur
Komponenten
annährend gleich
definitionale Gleichung
definitionale Äquivalenz
Definiendum
Definiens
stückweise definiert
Untergraph,Teilgraph
echter Teilgraph
Obergraph
Baum
Eingangsgrad
Ausgangsgrad
zusammenhängend
zusammenhängend in
Eckenzahl,Ordnung,Knotenzahl
Kantenanzahl
vollständig
leer
nichtleer
kantenlos
Teilbaum
Oberbaum
Pfad
auf
verbunden
Startknoten
Endknoten
innere Knoten
Länge
Kantengraph
unabhängig
stabile Mengen
$k$-regulär
kubischer Graph
Trenner,trennt
Artikulation
Brücke
Teilung
echt
Ordnung
Komponente
geordneter Baum
zyklisch
Zykel,Schleife
einfach
Ast
Vorfahren
Nachkommen
directed-edge
Graph
Knoten
ungerichtete Kante
Quelle,initial
terminal,Senke
adjazent
adjazent
minimale Länge
Taillenweite
maximale Länge
Umfang
Knotenbeschriftung
Kantenbeschriftung
beschriftet
isomorph
Isomorphismus
Automorphismus
induzierter Teilgraph
aufspannt,induziert
azyklisch,zyklenfrei
inzident
Kante bei
Sehne
sehnenlos
aufspannender Teilgraph
Valenz,Grad
isoliert
Minimalgrad
Maximalgrad
Durchschnittsgrad
Wald
Elternknoten
Kind
Blatt
$A$--$B$-Weg
kreuzungsfrei
Höhe
Höhe
